SEMANA,TIENDA,PRENDA,UNIDADES
4,MAYORCA 2,TAPABOCAS,4
4,MOLINOS 1,BLUSAS,55
4,MOLINOS 1,BUSOS,2
4,MOLINOS 1,CAMIBUSOS,13
4,MOLINOS 1,CAMISAS,75
4,MOLINOS 1,CAMISETAS,47
4,MOLINOS 1,CHAQUETAS,9
4,MOLINOS 1,CORREAS,5
4,MOLINOS 1,JEANS,278
4,MOLINOS 1,JOGGER,33
4,MOLINOS 1,PANTALON COLOR,153
4,MOLINOS 1,POLOS,33
4,MOLINOS 1,TAPABOCAS,10
4,MOLINOS 1,VESTIDOS,5
4,PARQUE LA CEJA,BERMUDA,1
4,PARQUE LA CEJA,BLUSAS,18
4,PARQUE LA CEJA,BUSOS,2
4,PARQUE LA CEJA,CAMIBUSOS,4
4,PARQUE LA CEJA,CAMISAS,24
4,PARQUE LA CEJA,CAMISETAS,11
4,PARQUE LA CEJA,CHAQUETAS,1
4,PARQUE LA CEJA,CORREAS,3
4,PARQUE LA CEJA,JEANS,71
4,PARQUE LA CEJA,JOGGER,6
4,PARQUE LA CEJA,PANTALON COLOR,31
4,PARQUE LA CEJA,POLOS,20
4,PARQUE LA CEJA,TAPABOCAS,3
4,PLAZA FABRICATO,BLUSAS,10
4,PLAZA FABRICATO,BUSOS,6
4,PLAZA FABRICATO,CAMIBUSOS,3
4,PLAZA FABRICATO,CAMISAS,23
4,PLAZA FABRICATO,CAMISETAS,20
4,PLAZA FABRICATO,CORREAS,4
4,PLAZA FABRICATO,JEANS,73
4,PLAZA FABRICATO,JOGGER,19
4,PLAZA FABRICATO,PANTALON COLOR,49
4,PLAZA FABRICATO,POLOS,14
4,PREMIUM PLAZA,BLUSAS,25
4,PREMIUM PLAZA,BUSOS,3
4,PREMIUM PLAZA,CAMIBUSOS,8
4,PREMIUM PLAZA,CAMISAS,37
4,PREMIUM PLAZA,CAMISETAS,29
4,PREMIUM PLAZA,CHAQUETAS,1
4,PREMIUM PLAZA,CORREAS,2
4,PREMIUM PLAZA,JEANS,137
4,PREMIUM PLAZA,JOGGER,21
4,PREMIUM PLAZA,PANTALON COLOR,77
4,PREMIUM PLAZA,POLOS,18
4,PREMIUM PLAZA,TAPABOCAS,5
4,PREMIUM PLAZA,VESTIDOS,6
4,PUERTA DEL NTE,BERMUDA,1
4,PUERTA DEL NTE,BLUSAS,42
4,PUERTA DEL NTE,BUSOS,5
4,PUERTA DEL NTE,CAMIBUSOS,8
4,PUERTA DEL NTE,CAMISAS,36
4,PUERTA DEL NTE,CAMISETAS,36
4,PUERTA DEL NTE,CHAQUETAS,2
4,PUERTA DEL NTE,CORREAS,4
4,PUERTA DEL NTE,JEANS,151
4,PUERTA DEL NTE,JOGGER,23
4,PUERTA DEL NTE,PANTALON COLOR,75
4,PUERTA DEL NTE,POLOS,21
4,PUERTA DEL NTE,TAPABOCAS,10
4,PUERTA DEL NTE,VESTIDOS,1
4,RIONEGRO,BERMUDA,1
4,RIONEGRO,BLUSAS,48
4,RIONEGRO,BUSOS,6
4,RIONEGRO,CAMIBUSOS,11
4,RIONEGRO,CAMISAS,44
4,RIONEGRO,CAMISETAS,44
4,RIONEGRO,CHAQUETAS,1
4,RIONEGRO,CORREAS,3
4,RIONEGRO,JEANS,240
4,RIONEGRO,JOGGER,19
4,RIONEGRO,PANTALON COLOR,88
4,RIONEGRO,POLOS,37
4,RIONEGRO,VESTIDOS,2
4,RIONEGRO PARQUE,BERMUDA,1
4,RIONEGRO PARQUE,BLUSAS,10
4,RIONEGRO PARQUE,BUSOS,3
